"paragraph"	"words"	"characters"	"sentence"
"111"	8	14	93	"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas."
"112"	8	16	65	"Donec odio elit, dictum in, hendrerit sit amet, egestas sed, leo."
"113"	8	6	37	"Praesent feugiat sapien aliquet odio."
"114"	8	4	20	"Integer vitae justo."
"115"	8	5	35	"Aliquam vestibulum fringilla lorem."
"116"	8	15	73	"Sed neque lectus, consectetuer at, consectetuer sed, eleifend ac, lectus."
"117"	8	3	15	"Nulla facilisi."
"118"	8	4	25	"Pellentesque eget lectus."
"119"	8	4	15	"Proin eu metus."
"120"	8	3	14	"Sed porttitor."
"121"	8	6	33	"In hac habitasse platea dictumst."
"122"	8	4	22	"Suspendisse eu lectus."
"123"	8	16	59	"Ut mi mi, lacinia sit amet, placerat et, mollis vitae, dui."
"124"	8	15	61	"Sed ante tellus, tristique ut, iaculis eu, malesuada ac, dui."
"125"	8	15	65	"Mauris nibh leo, facilisis non, adipiscing quis, ultrices a, dui."
"126"	9	20	101	"Morbi luctus, wisi viverra faucibus pretium, nibh est placerat odio, nec commodo wisi enim eget quam."
"127"	9	15	74	"Quisque libero justo, consectetuer a, feugiat vitae, porttitor eu, libero."
"128"	9	8	57	"Suspendisse sed mauris vitae elit sollicitudin malesuada."
"129"	9	7	38	"Maecenas ultricies eros sit amet ante."
"130"	9	4	19	"Ut venenatis velit."
"131"	9	8	40	"Maecenas sed mi eget dui varius euismod."
"132"	9	5	32	"Phasellus aliquet volutpat odio."
"133"	9	23	144	"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Pellentesque sit amet pede ac sem eleifend consectetuer."
"134"	9	20	104	"Nullam elementum, urna vel imperdiet sodales, elit ipsum pharetra ligula, ac pretium ante justo a nulla."
"135"	9	6	34	"Curabitur tristique arcu eu metus."
"136"	9	3	18	"Vestibulum lectus."
"137"	9	3	13	"Proin mauris."
"138"	9	8	41	"Proin eu nunc eu urna hendrerit faucibus."
"139"	9	20	122	"Aliquam auctor, pede consequat laoreet varius, eros tellus scelerisque quam, pellentesque hendrerit ipsum dolor sed augue."
"140"	9	4	16	"Nulla nec lacus."
"141"	10	4	23	"Suspendisse vitae elit."
"142"	10	15	68	"Aliquam arcu neque, ornare in, ullamcorper quis, commodo eu, libero."
"143"	10	8	45	"Fusce sagittis erat at erat tristique mollis."
"144"	10	15	68	"Maecenas sapien libero, molestie et, lobortis in, sodales eget, dui."
"145"	10	5	28	"Morbi ultrices rutrum lorem."
"146"	10	5	30	"Nam elementum ullamcorper leo."
"147"	10	3	10	"Morbi dui."
"148"	10	3	17	"Aliquam sagittis."
"149"	10	3	14	"Nunc placerat."
"150"	10	5	35	"Pellentesque tristique sodales est."
"151"	10	5	33	"Maecenas imperdiet lacinia velit."
"152"	10	4	14	"Cras non urna."
"153"	10	15	60	"Morbi eros pede, suscipit ac, varius vel, egestas non, eros."
"154"	10	20	106	"Praesent malesuada, diam id pretium elementum, eros sem dictum tortor, vel consectetuer odio sem sed wisi."
"155"	11	3	12	"Sed feugiat."
"156"	11	14	85	"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
"157"	11	6	31	"Ut pellentesque augue sed urna."
"158"	11	15	72	"Vestibulum diam eros, fringilla et, consectetuer eu, nonummy id, sapien."
"159"	11	4	17	"Nullam at lectus."
"160"	11	5	28	"In sagittis ultrices mauris."
"161"	11	7	40	"Curabitur malesuada erat sit amet massa."
"162"	11	3	14	"Fusce blandit."
"163"	11	4	22	"Aliquam erat volutpat."
"164"	11	3	16	"Aliquam euismod."
"165"	11	4	18	"Aenean vel lectus."
"166"	11	6	31	"Nunc imperdiet justo nec dolor."
"167"	12	3	14	"Etiam euismod."
"168"	12	5	28	"Fusce facilisis lacinia dui."
"169"	12	3	20	"Suspendisse potenti."
"170"	12	15	61	"In mi erat, cursus id, nonummy sed, ullamcorper eget, sapien."
"171"	12	20	118	"Praesent pretium, magna in eleifend egestas, pede pede pretium lorem, quis consectetuer tortor sapien facilisis magna."
"172"	12	8	53	"Mauris quis magna varius nulla scelerisque imperdiet."
"173"	12	4	17	"Aliquam non quam."
"174"	12	6	31	"Aliquam porttitor quam a lacus."
"175"	12	8	44	"Praesent vel arcu ut tortor cursus volutpat."
"176"	12	8	42	"In vitae pede quis diam bibendum placerat."
"177"	12	5	32	"Fusce elementum convallis neque."
"178"	12	15	62	"Sed dolor orci, scelerisque ac, dapibus nec, ultricies ut, mi."
"179"	12	8	39	"Duis nec dui quis leo sagittis commodo."
"180"	13	3	15	"Aliquam lectus."
"181"	13	3	12	"Vivamus leo."
"182"	13	6	40	"Quisque ornare tellus ullamcorper nulla."
"183"	13	5	33	"Mauris porttitor pharetra tortor."
"184"	13	6	31	"Sed fringilla justo sed mauris."
"185"	13	3	14	"Mauris tellus."
"186"	13	4	12	"Sed non leo."
"187"	13	20	109	"Nullam elementum, magna in cursus sodales, augue est scelerisque sapien, venenatis congue nulla arcu et pede."
"188"	13	6	28	"Ut suscipit enim vel sapien."
"189"	13	3	13	"Donec congue."
"190"	13	15	65	"Maecenas urna mi, suscipit in, placerat ut, vestibulum ut, massa."
"191"	13	6	29	"Fusce ultrices nulla et nisl."
"192"	14	8	39	"Etiam ac leo a risus tristique nonummy."
"193"	14	5	32	"Donec dignissim tincidunt nulla."
"194"	14	5	33	"Vestibulum rhoncus molestie odio."
"195"	14	20	111	"Sed lobortis, justo et pretium lobortis, mauris turpis condimentum augue, nec ultricies nibh arcu pretium enim."
"196"	14	15	69	"Nunc purus neque, placerat id, imperdiet sed, pellentesque nec, nisl."
"197"	14	8	52	"Vestibulum imperdiet neque non sem accumsan laoreet."
"198"	14	6	33	"In hac habitasse platea dictumst."
"199"	14	5	35	"Etiam condimentum facilisis libero."
"200"	14	8	46	"Suspendisse in elit quis nisl aliquam dapibus."
"201"	14	4	27	"Pellentesque auctor sapien."
"202"	14	6	30	"Sed egestas sapien nec lectus."
"203"	14	8	48	"Pellentesque vel dui vel neque bibendum viverra."
"204"	14	6	32	"Aliquam porttitor nisl nec pede."
"205"	14	6	31	"Proin mattis libero vel turpis."
"206"	14	6	30	"Donec rutrum mauris et libero."
"207"	14	5	26	"Proin euismod porta felis."
"208"	14	20	112	"Nam lobortis, metus quis elementum commodo, nunc lectus elementum mauris, eget vulputate ligula tellus eu neque."
"209"	14	4	17	"Vivamus eu dolor."
"210"	15	4	15	"Nulla in ipsum."
"211"	15	15	63	"Praesent eros nulla, congue vitae, euismod ut, commodo a, wisi."
"212"	15	14	93	"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas."
"213"	15	6	29	"Aenean nonummy magna non leo."
"214"	15	15	65	"Sed felis erat, ullamcorper in, dictum non, ultricies ut, lectus."
"215"	15	8	39	"Proin vel arcu a odio lobortis euismod."
"216"	15	18	101	"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Proin ut est."
"217"	15	3	13	"Aliquam odio."
"218"	15	15	72	"Pellentesque massa turpis, cursus eu, euismod nec, tempor congue, nulla."
"219"	15	5	28	"Duis viverra gravida mauris."
"220"	15	3	15	"Cras tincidunt."
"221"	15	15	70	"Curabitur eros ligula, varius ut, pulvinar in, cursus faucibus, augue."
"222"	16	5	26	"Nulla mattis luctus nulla."
"223"	16	6	26	"Duis commodo velit at leo."
"224"	16	6	31	"Aliquam vulputate magna et leo."
"225"	16	5	31	"Nam vestibulum ullamcorper leo."
"226"	16	5	37	"Vestibulum condimentum rutrum mauris."
"227"	16	4	16	"Donec id mauris."
"228"	16	6	29	"Morbi molestie justo et pede."
"229"	16	8	43	"Vivamus eget turpis sed nisl cursus tempor."
"230"	16	6	41	"Curabitur mollis sapien condimentum nunc."
"231"	16	16	66	"In wisi nisl, malesuada at, dignissim sit amet, lobortis in, odio."
"232"	16	6	29	"Aenean consequat arcu a ante."
"233"	16	7	38	"Pellentesque porta elit sit amet orci."
"234"	16	8	45	"Etiam at turpis nec elit ultricies imperdiet."
"235"	16	3	15	"Nulla facilisi."
"236"	16	6	33	"In hac habitasse platea dictumst."
"237"	16	5	34	"Suspendisse viverra aliquam risus."
"238"	16	15	73	"Nullam pede justo, molestie nonummy, scelerisque eu, facilisis vel, arcu."
"239"	17	15	67	"Curabitur tellus magna, porttitor a, commodo a, commodo in, tortor."
"240"	17	3	15	"Donec interdum."
"241"	17	3	21	"Praesent scelerisque."
"242"	17	5	30	"Maecenas posuere sodales odio."
"243"	17	15	68	"Vivamus metus lacus, varius quis, imperdiet quis, rhoncus a, turpis."
"244"	17	15	72	"Etiam ligula arcu, elementum a, venenatis quis, sollicitudin sed, metus."
"245"	17	15	67	"Donec nunc pede, tincidunt in, venenatis vitae, faucibus vel, nibh."
"246"	17	3	18	"Pellentesque wisi."
"247"	17	3	17	"Nullam malesuada."
"248"	17	8	40	"Morbi ut tellus ut pede tincidunt porta."
"249"	17	10	57	"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
"250"	17	6	28	"Etiam congue neque id dolor."
"251"	18	8	38	"Donec et nisl at wisi luctus bibendum."
"252"	18	6	30	"Nam interdum tellus ac libero."
"253"	18	15	64	"Sed sem justo, laoreet vitae, fringilla at, adipiscing ut, nibh."
"254"	18	8	48	"Maecenas non sem quis tortor eleifend fermentum."
"255"	18	8	42	"Etiam id tortor ac mauris porta vulputate."
"256"	18	6	32	"Integer porta neque vitae massa."
"257"	18	8	47	"Maecenas tempus libero a libero posuere dictum."
"258"	18	22	133	"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Aenean quis mauris sed elit commodo placerat."
"259"	18	15	91	"Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos hymenaeos."
"260"	18	5	33	"Vivamus rhoncus tincidunt libero."
"261"	18	5	30	"Etiam elementum pretium justo."
"262"	18	3	12	"Vivamus est."
"263"	18	8	43	"Morbi a tellus eget pede tristique commodo."
"264"	18	3	11	"Nulla nisl."
"265"	18	8	44	"Vestibulum sed nisl eu sapien cursus rutrum."
"266"	19	8	46	"Nulla non mauris vitae wisi posuere convallis."
"267"	19	8	43	"Sed eu nulla nec eros scelerisque pharetra."
"268"	19	3	14	"Nullam varius."
"269"	19	5	32	"Etiam dignissim elementum metus."
"270"	19	21	109	"Vestibulum faucibus, metus sit amet mattis rhoncus, sapien dui laoreet odio, nec ultricies nibh augue a enim."
"271"	19	4	16	"Fusce in ligula."
"272"	19	8	44	"Quisque at magna et nulla commodo consequat."
"273"	19	5	29	"Proin accumsan imperdiet sem."
"274"	19	3	11	"Nunc porta."
"275"	19	6	26	"Donec feugiat mi at justo."
"276"	19	6	36	"Phasellus facilisis ipsum quis ante."
"277"	19	8	40	"In ac elit eget ipsum pharetra faucibus."
"278"	19	6	32	"Maecenas viverra nulla in massa."
"279"	20	4	14	"Nulla ac nisl."
"280"	20	16	72	"Nullam urna nulla, ullamcorper in, interdum sit amet, gravida ut, risus."
"281"	20	4	15	"Aenean ac enim."
"282"	20	3	10	"In luctus."
"283"	20	8	52	"Phasellus eu quam vitae turpis viverra pellentesque."
"284"	20	6	27	"Duis feugiat felis ut enim."
"285"	20	20	103	"Phasellus pharetra, sem id porttitor sodales, magna nunc aliquet nibh, nec blandit nisl mauris at pede."
"286"	20	16	76	"Suspendisse risus risus, lobortis eget, semper at, imperdiet sit amet, quam."
"287"	20	5	33	"Quisque scelerisque dapibus nibh."
"288"	20	3	9	"Nam enim."
"289"	20	10	57	"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
"290"	20	4	14	"Nunc ut metus."
"291"	20	15	59	"Ut metus justo, auctor at, ultrices eu, sagittis ut, purus."
"292"	20	3	16	"Aliquam aliquam."
"293"	21	15	68	"Etiam pede massa, dapibus vitae, rhoncus in, placerat posuere, odio."
"294"	21	5	32	"Vestibulum luctus commodo lacus."
"295"	21	15	66	"Morbi lacus dui, tempor sed, euismod eget, condimentum at, tortor."
"296"	21	8	48	"Phasellus aliquet odio ac lacus tempor faucibus."
"297"	21	4	17	"Praesent sed sem."
"298"	21	3	17	"Praesent iaculis."
"299"	21	8	51	"Cras rhoncus tellus sed justo ullamcorper sagittis."
"300"	21	4	16	"Donec quis orci."
"301"	21	8	44	"Sed ut tortor quis tellus euismod tincidunt."
"302"	21	6	32	"Suspendisse congue nisl eu elit."
"303"	21	15	67	"Aliquam tortor diam, tempus id, tristique eget, sodales vel, nulla."
"304"	21	15	75	"Praesent tellus mi, condimentum sed, viverra at, consectetuer quis, lectus."
"305"	21	5	24	"In auctor vehicula orci."
"306"	21	15	67	"Sed pede sapien, euismod in, suscipit in, pharetra placerat, metus."
"307"	21	6	29	"Vivamus commodo dui non odio."
"308"	21	4	15	"Donec et felis."
"309"	22	5	28	"Etiam suscipit aliquam arcu."
"310"	22	9	46	"Aliquam sit amet est ac purus bibendum congue."
"311"	22	4	12	"Sed in eros."
"312"	22	4	15	"Morbi non orci."
"313"	22	5	33	"Pellentesque mattis lacinia elit."
"314"	22	6	31	"Fusce molestie velit in ligula."
"315"	22	8	43	"Nullam et orci vitae nibh vulputate auctor."
"316"	22	4	19	"Aliquam eget purus."
"317"	22	6	28	"Nulla auctor wisi sed ipsum."
"318"	22	6	31	"Morbi porttitor tellus ac enim."
"319"	22	3	13	"Fusce ornare."
"320"	22	15	68	"Proin ipsum enim, tincidunt in, ornare venenatis, molestie a, augue."
"321"	22	8	39	"Donec vel pede in lacus sagittis porta."
"322"	22	6	30	"Sed hendrerit ipsum quis nisl."
"323"	22	8	46	"Suspendisse quis massa ac nibh pretium cursus."
"324"	22	3	12	"Sed sodales."
"325"	22	8	40	"Nam eu neque quis pede dignissim ornare."
"326"	22	8	43	"Maecenas eu purus ac urna tincidunt congue."
"327"	23	8	39	"Donec et nisl id sapien blandit mattis."
"328"	23	7	34	"Aenean dictum odio sit amet risus."
"329"	23	3	12	"Morbi purus."
"330"	23	9	45	"Nulla a est sit amet purus venenatis iaculis."
"331"	23	6	32	"Vivamus viverra purus vel magna."
"332"	23	8	42	"Donec in justo sed odio malesuada dapibus."
"333"	23	5	27	"Nunc ultrices aliquam nunc."
"334"	23	5	37	"Vivamus facilisis pellentesque velit."
"335"	23	15	68	"Nulla nunc velit, vulputate dapibus, vulputate id, mattis ac, justo."
"336"	23	6	30	"Nam mattis elit dapibus purus."
"337"	23	15	63	"Quisque enim risus, congue non, elementum ut, mattis quis, sem."
"338"	23	3	13	"Quisque elit."
"339"	24	4	19	"Maecenas non massa."
"340"	24	6	35	"Vestibulum pharetra nulla at lorem."
"341"	24	8	41	"Duis quis quam id lacus dapibus interdum."
"342"	24	3	12	"Nulla lorem."
"343"	24	8	46	"Donec ut ante quis dolor bibendum condimentum."
"344"	24	6	33	"Etiam egestas tortor vitae lacus."
"345"	24	3	16	"Praesent cursus."
"346"	24	6	29	"Mauris bibendum pede at elit."
"347"	24	8	43	"Morbi et felis a lectus interdum facilisis."
"348"	24	5	28	"Sed suscipit gravida turpis."
"349"	24	4	16	"Nulla at lectus."
"350"	24	19	117	"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Praesent nonummy luctus nibh."
"351"	24	15	63	"Proin turpis nunc, congue eu, egestas ut, fringilla at, tellus."
"352"	24	6	33	"In hac habitasse platea dictumst."
"353"	25	8	48	"Vivamus eu tellus sed tellus consequat suscipit."
"354"	25	15	64	"Nam orci orci, malesuada id, gravida nec, ultricies vitae, erat."
"355"	25	16	69	"Donec risus turpis, luctus sit amet, interdum quis, porta sed, ipsum."
"356"	25	20	108	"Suspendisse condimentum, tortor at egestas posuere, neque metus tempor orci, et tincidunt urna nunc a purus."
"357"	25	5	29	"Sed facilisis blandit tellus."
"358"	25	15	65	"Nunc risus sem, suscipit nec, eleifend quis, cursus quis, libero."
"359"	25	4	19	"Curabitur et dolor."
"360"	25	4	14	"Sed vitae sem."
"361"	25	14	85	"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
"362"	25	3	14	"Maecenas ante."
"363"	25	4	22	"Duis ullamcorper enim."
"364"	25	6	28	"Donec tristique enim eu leo."
"365"	25	6	30	"Nullam molestie elit eu dolor."
"366"	25	20	110	"Nullam bibendum, turpis vitae tristique gravida, quam sapien tempor lectus, quis pretium tellus purus ac quam."
"367"	25	3	15	"Nulla facilisi."
"368"	26	6	24	"Duis aliquet dui in est."
"369"	26	4	15	"Donec eget est."
"370"	26	15	62	"Nunc lectus odio, varius at, fermentum in, accumsan non, enim."
"371"	26	4	22	"Aliquam erat volutpat."
"372"	26	9	49	"Proin sit amet nulla ut eros consectetuer cursus."
"373"	26	5	32	"Phasellus dapibus aliquam justo."
"374"	26	3	13	"Nunc laoreet."
"375"	26	5	31	"Donec consequat placerat magna."
"376"	26	5	29	"Duis pretium tincidunt justo."
"377"	26	5	33	"Sed sollicitudin vestibulum quam."
"378"	26	4	16	"Nam quis ligula."
"379"	26	4	17	"Vivamus at metus."
"380"	26	5	31	"Etiam imperdiet imperdiet pede."
"381"	26	3	14	"Aenean turpis."
"382"	26	15	75	"Fusce augue velit, scelerisque sollicitudin, dictum vitae, tempor et, pede."
"383"	26	15	76	"Donec wisi sapien, feugiat in, fermentum ut, sollicitudin adipiscing, metus."
"384"	27	8	45	"Donec vel nibh ut felis consectetuer laoreet."
"385"	27	3	11	"Donec pede."
"386"	27	8	37	"Sed id quam id wisi laoreet suscipit."
"387"	27	15	64	"Nulla lectus dolor, aliquam ac, fringilla eget, mollis ut, orci."
"388"	27	6	32	"In pellentesque justo in ligula."
"389"	27	3	16	"Maecenas turpis."
"390"	27	8	48	"Donec eleifend leo at felis tincidunt consequat."
"391"	27	16	73	"Aenean turpis metus, malesuada sed, condimentum sit amet, auctor a, wisi."
"392"	27	15	68	"Pellentesque sapien elit, bibendum ac, posuere et, congue eu, felis."
"393"	27	8	57	"Vestibulum mattis libero quis metus scelerisque ultrices."
"394"	27	3	10	"Sed purus."
"395"	28	21	108	"Donec molestie, magna ut luctus ultrices, tellus arcu nonummy velit, sit amet pulvinar elit justo et mauris."
"396"	28	3	8	"In pede."
"397"	28	6	30	"Maecenas euismod elit eu erat."
"398"	28	15	71	"Aliquam augue wisi, facilisis congue, suscipit in, adipiscing et, ante."
"399"	28	3	9	"In justo."
"400"	28	6	29	"Cras lobortis neque ac ipsum."
"401"	28	6	29	"Nunc fermentum massa at ante."
"402"	28	16	71	"Donec orci tortor, egestas sit amet, ultrices eget, venenatis eget, mi."
"403"	28	6	33	"Maecenas vehicula leo semper est."
"404"	28	4	17	"Mauris vel metus."
"405"	28	4	22	"Aliquam erat volutpat."
"406"	28	6	28	"In rhoncus sapien ac tellus."
"407"	28	3	20	"Pellentesque ligula."
"408"	29	20	102	"Cras dapibus, augue quis scelerisque ultricies, felis dolor placerat sem, id porta velit odio eu elit."
"409"	29	6	30	"Aenean interdum nibh sed wisi."
"410"	29	5	36	"Praesent sollicitudin vulputate dui."
"411"	29	5	31	"Praesent iaculis viverra augue."
"412"	29	4	18	"Quisque in libero."
"413"	29	8	50	"Aenean gravida lorem vitae sem ullamcorper cursus."
"414"	29	5	28	"Nunc adipiscing rutrum ante."
"415"	29	16	73	"Nunc ipsum massa, faucibus sit amet, viverra vel, elementum semper, orci."
"416"	29	15	64	"Cras eros sem, vulputate et, tincidunt id, ultrices eget, magna."
"417"	29	5	25	"Nulla varius ornare odio."
"418"	29	7	37	"Donec accumsan mauris sit amet augue."
"419"	29	16	71	"Sed ligula lacus, laoreet non, aliquam sit amet, iaculis tempor, lorem."
"420"	29	3	17	"Suspendisse eros."
"421"	29	20	91	"Nam porta, leo sed congue tempor, felis est ultrices eros, id mattis velit felis non metus."
"422"	29	8	47	"Curabitur vitae elit non mauris varius pretium."
"423"	29	15	68	"Aenean lacus sem, tincidunt ut, consequat quis, porta vitae, turpis."
"424"	29	5	30	"Nullam laoreet fermentum urna."
"425"	29	4	21	"Proin iaculis lectus."
"426"	30	21	112	"Sed mattis, erat sit amet gravida malesuada, elit augue egestas diam, tempus scelerisque nunc nisl vitae libero."
"427"	30	5	28	"Sed consequat feugiat massa."
"428"	30	20	92	"Nunc porta, eros in eleifend varius, erat leo rutrum dui, non convallis lectus orci ut nibh."
"429"	30	15	64	"Sed lorem massa, nonummy quis, egestas id, condimentum at, nisl."
"430"	30	4	17	"Maecenas at nibh."
"431"	30	8	50	"Aliquam et augue at nunc pellentesque ullamcorper."
"432"	30	15	64	"Duis nisl nibh, laoreet suscipit, convallis ut, rutrum id, enim."
"433"	30	3	15	"Phasellus odio."
"434"	30	15	69	"Nulla nulla elit, molestie non, scelerisque at, vestibulum eu, nulla."
"435"	30	15	61	"Ut odio nisl, facilisis id, mollis et, scelerisque nec, enim."
